subject,stage,network,coupling_z
sub-03,N2,Default,-0.46988622929419577
sub-03,N1,Vis,0.6414294409552126
sub-03,N1,Vis,-0.48809397400699717
sub-03,N1,Vis,-0.9710439045359601
sub-03,N1,SomMot,1.2136779206480808
sub-03,N1,SomMot,-0.290998124741178
sub-03,N1,SomMot,-0.6612378470411334
sub-03,N1,DorsAttn,0.7756049996307696
sub-03,N1,DorsAttn,-0.44456634479188356
sub-03,N1,DorsAttn,-1.011166651965446
sub-03,N1,SalVentAttn,1.1604936363434666
sub-03,N1,SalVentAttn,-0.5334690304834183
sub-03,N1,SalVentAttn,-0.38500148152062735
sub-03,N1,Limbic,0.7305197240239499
sub-03,N1,Limbic,-0.143445199307425
sub-03,N1,Limbic,-0.3513729072253246
sub-03,N1,Cont,1.1190102304911673
sub-03,N1,Cont,-0.31491646959488645
sub-03,N1,Cont,-0.4292114038249938
sub-03,N1,Default,1.2790365204145293
sub-03,N1,Default,-0.3179816893973401
sub-03,N1,Default,-0.9316657218090804
sub-03,N2,Vis,-0.2271902880697461
sub-03,N2,Vis,0.2701293683092805
sub-03,N2,Vis,-0.3283657592520122
sub-03,N2,Vis,-0.7549995034622758
sub-03,N2,SomMot,1.6006094979326788
sub-03,N2,SomMot,0.7628112225920103
sub-03,N2,SomMot,0.5907747762133858
sub-03,N2,SomMot,-0.4317736255362573
sub-03,N2,DorsAttn,-0.14967445823149894
sub-03,N2,DorsAttn,0.398761923843371
sub-03,N2,DorsAttn,0.2281375644750245
sub-03,N2,DorsAttn,-0.47465711789905407
sub-03,N2,SalVentAttn,0.41200461247923054
sub-03,N2,SalVentAttn,1.2517690519468272
sub-03,N2,SalVentAttn,0.28592706295521286
sub-03,N2,SalVentAttn,-0.3355263760598515
sub-03,N2,Limbic,0.23357487680568625
sub-03,N2,Limbic,0.8761380492626665
sub-03,N2,Limbic,0.6449229431551642
sub-03,N2,Limbic,-1.7135983555133125
sub-03,N2,Cont,0.37573405155410994
sub-03,N2,Cont,0.1992012601529096
sub-03,N2,Cont,-0.3989006547264486
sub-03,N2,Cont,-0.4582372791016191
sub-03,N2,Default,0.5284656500131758
sub-03,N2,Default,0.16678844678045188
sub-03,N2,Default,-0.3616292516249648
sub-03,N2,Default,-0.5069581034101264
sub-03,N2,Vis,-0.26425675470177906
sub-03,N2,Vis,-0.7187408523670826
sub-03,N2,Vis,-0.693298473791315
sub-03,N2,Vis,-1.1346633007093974
sub-03,N2,Vis,-0.5539696857143392
sub-03,N2,SomMot,-0.4458612222796553
sub-03,N2,SomMot,-0.3712104925833278
sub-03,N2,SomMot,0.09310261900909336
sub-03,N2,SomMot,-1.4797677918203487
sub-03,N2,SomMot,0.15220675971497444
sub-03,N2,DorsAttn,-0.5665707940469428
sub-03,N2,DorsAttn,-0.527006468058959
sub-03,N2,DorsAttn,-0.35567680402669355
sub-03,N2,DorsAttn,-1.8052747064494037
sub-03,N2,DorsAttn,-0.3363402304416959
sub-03,N2,SalVentAttn,-0.5878480274636314
sub-03,N2,SalVentAttn,-0.20304725335896678
sub-03,N2,SalVentAttn,0.3107151887156042
sub-03,N2,SalVentAttn,-1.2386024649721425
sub-03,N2,SalVentAttn,0.28331366644378964
sub-03,N2,Limbic,-0.39172538112137795
sub-03,N2,Limbic,-0.3949467927601495
sub-03,N2,Limbic,0.7950727206671369
sub-03,N2,Limbic,-1.071939013960079
sub-03,N2,Limbic,0.2474596079487577
sub-03,N2,Cont,-0.05842408057606234
sub-03,N2,Cont,-0.32675119445657713
sub-03,N2,Cont,-0.268988317615699
sub-03,N2,Cont,-0.7942917883241644
sub-03,N2,Cont,-0.16758478833704943
sub-03,N2,Default,-0.1823372654794049
sub-03,N2,Default,-0.3514732253936223
sub-03,N2,Default,-0.5702095178536523
sub-03,N2,Default,-1.094903084139295
sub-03,N2,Default,-0.39800477543350316
sub-03,N2,Vis,0.14102063555147468
sub-03,N2,Vis,-0.565015912039358
sub-03,N2,Vis,-0.5748657139765497
sub-03,N2,Vis,0.7719339242528737
sub-03,N2,Vis,-0.5860359377909861
sub-03,N2,Vis,-0.5387537489666785
sub-03,N2,Vis,-0.381430833438234
sub-03,N2,Vis,-0.44577946711615296
sub-03,N2,Vis,-0.04740419050119626
sub-03,N2,Vis,-0.12120834521477722
sub-03,N2,Vis,-0.47141216030776356
sub-03,N2,Vis,0.7273972791240372
sub-03,N2,Vis,0.187586876272752
sub-03,N2,Vis,1.1503269544598786
sub-03,N2,Vis,-1.1422332912617175
sub-03,N2,SomMot,-0.06411168208423125
sub-03,N2,SomMot,-0.5596821430374795
sub-03,N2,SomMot,-0.4913757057610861
sub-03,N2,SomMot,0.7296202007466281
sub-03,N2,SomMot,-0.43080270156185135
sub-03,N2,SomMot,-0.4122298448642052
sub-03,N2,SomMot,-0.03310531277378804
sub-03,N2,SomMot,-0.6887686766819839
sub-03,N2,SomMot,-0.0667518783392234
sub-03,N2,SomMot,0.4347407441139818
sub-03,N2,SomMot,-1.1154490754605104
sub-03,N2,SomMot,0.42534091451070416
sub-03,N2,SomMot,0.17723268138280157
sub-03,N2,SomMot,0.10058505736831923
sub-03,N2,SomMot,-1.4734560129097745
sub-03,N2,DorsAttn,-0.06735200324160259
sub-03,N2,DorsAttn,-0.6976723027219033
sub-03,N2,DorsAttn,-0.6517230599642801
sub-03,N2,DorsAttn,0.6923941694213942
sub-03,N2,DorsAttn,-0.6884364580844283
sub-03,N2,DorsAttn,-0.5312819957467849
sub-03,N2,DorsAttn,-0.04798170917362679
sub-03,N2,DorsAttn,-0.7782110529056535
sub-03,N2,DorsAttn,-0.24012175757643164
sub-03,N2,DorsAttn,-0.16726781180912204
sub-03,N2,DorsAttn,-1.1411613311150608
sub-03,N2,DorsAttn,0.4494285368934565
sub-03,N2,DorsAttn,0.005805257291830009
sub-03,N2,DorsAttn,0.4904207901092186
sub-03,N2,DorsAttn,-1.3423878291875357
sub-03,N2,SalVentAttn,-0.16374467683115934
sub-03,N2,SalVentAttn,-0.28763167687266394
sub-03,N2,SalVentAttn,-0.3251620216087792
